Search Description,Time,GitHub_Filename,Pubmed Search
bone microCT and bone HRpQCT spellings - additional term of U-Net,All Time,19,(((bone microCT and U-Net) OR (bone HRpQCT and U-Net)) OR ((bone micro-CT and U-Net) OR (bone HR-pQCT and U-Net))) OR ((bone micro computed tomography and U-Net) OR (bone high resolution peripheral quantitative computed tomography and U-Net))
bone micro-CT and bone HR-pQCT- additional terms of convolutional neural network,All Time,20,((((bone microCT and convolutional neural network) OR (bone HRpQCT and convolutional neural network)) OR ((bone micro-CT and convolutional neural network) OR (bone HR-pQCT and convolutional neural network))) OR ((bone micro computed tomography and convolutional neural network) OR (bone high-resolution peripheral quantitative computed tomography and convolutional neural network)))
bone microCT and bone HRpQCT spellings - additional term of convolutional neural network,All Time,21,((((bone μCT and convolutional neural network) OR (bone HRpQCT and convolutional neural network)) OR ((bone μ-CT and convolutional neural network) OR (bone HR-pQCT and convolutional neural network))) OR ((bone micro computed tomography and convolutional neural network) OR (bone high-resolution peripheral quantitative computed tomography and convolutional neural network)))
bone microCT and bone HRpQCT spellings - additional term of U-Net,All Time,22,((((bone μCT and U-Net) OR (bone HRpQCT and U-Net)) OR ((bone μ-CT and U-Net) OR (bone HR-pQCT and U-Net))) OR ((bone micro computed tomography and U-Net) OR (bone high-resolution peripheral quantitative computed tomography and U-Net)))
"bone μCT - additional terms of machine learning, deep learning, principal component analysis, and canonical correlation analysis",All Time,23,(((bone μCT and machine learning) OR (bone μCT and deep learning)) OR (bone μCT and principal component analysis)) OR (bone μCT and canonical correlation analysis)
"bone μ-CT - additional terms of machine learning, deep learning, principal component analysis, and canonical correlation analysis",All Time,24,(((bone μ-CT and machine learning) OR (bone μ-CT and deep learning)) OR (bone μ-CT and principal component analysis)) OR (bone μ-CT and canonical correlation analysis)
"bone mu-CT - additional terms of machine learning, deep learning, principal component analysis, and canonical correlation analysis",All Time,25,(((bone mu-CT and machine learning) OR (bone mu-CT and deep learning)) OR (bone mu-CT and principal component analysis)) OR (bone mu-CT and canonical correlation analysis)
bone muCT - additional terms of machine learning and deep learning,All Time,26,(((bone muCT and machine learning) OR (bone muCT and deep learning)) OR (bone muCT and principal component analysis)) OR (bone muCT and canonical correlation analysis)
"bone μCT, μ-CT, muCT and mu-CT - additional term of U-Net",All Time,27,((((bone μCT and U-Net) OR (bone μ-CT and U-Net))) OR (bone muCT and U-Net)) OR (bone mu-CT and U-Net)) OR ((bone μCT and U-Net) OR (bone μ-CT and U-Net))) OR (bone muCT and U-Net)) OR (bone mu-CT and U-Net))
"bone μCT, μ-CT, muCT and mu-CT - additional term of convolutional neural network",All Time,28,((((bone μCT and convolutional neural network) OR (bone μ-CT and convolutional neural network))) OR (bone muCT and convolutional neural network)) OR (bone mu-CT and convolutional neural network)) OR ((bone μCT and convolutional neural network) OR (bone μ-CT and convolutional neural network))) OR (bone muCT and convolutional neural network)) OR (bone mu-CT and convolutional neural network))
